country,2020 ranking_Military Strength Power Index,Airforce Strength_Aircraft Strength value,Airforce Strength_Fighter/Interceptor Strength value,Airforce Strength_Attack Aircraft Strength value,Airforce Strength_Transport Aircraft Fleet Strength value,Airforce Strength_Trainer Aircraft Fleet value,Airforce Strength_Helicopter Fleet Strength value,Airforce Strength_Attack Helicopter Fleet Strength value,Land Strength_Tank Strength value,Land Strength_AFV/APC Strength value,Land Strength_Self-Propelled Artillery Strength value,Land Strength_Towed Artillery Strength value,Land Strength_Rocket Projector Strength value,Navy Strength_Navy Fleet Strengths value,Navy Strength_Aircraft Carrier Fleet Strength value,Navy Strength_Submarine Fleet Strength value,Navy Strength_Destroyer Fleet Strength value,Navy Strength_Frigate Fleet Strength value,Finances_defense spending budget value,Finances_External Debt value,Logistics_Airport Totals value,Natural resources_Oil Production value,Natural resources_Oil Consumption value,Natural resources_Proven Oil Reserves value,Manpower_Available Manpower value,Manpower_Total Population value
Suriname,4.6042,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63000000,1700000000,55.0,17000.0,15100.0,83980000,132740,597927
Sweden,0.5304,204.0,71.0,0.0,6.0,69.0,53.0,0.0,126.0,1036.0,88.0,0.0,0.0,63.0,0.0,5.0,0.0,0.0,6326923600,939900000000,231.0,0.0,320000,0.0,4116808,10040995
Switzerland,0.5259,169.0,54.0,0.0,18.0,54.0,42.0,0.0,326.0,1338.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000000,1664000000000,63.0,0.0,260000,0.0,3632250,8292809
Syria,0.8241,456.0,199.0,20.0,5.0,67.0,165.0,27.0,4135.0,5370.0,575.0,2550.0,750.0,56.0,0.0,0.0,0.0,2.0,1800000000,4989000000,90.0,14000.0,260000,2500000000,12450728,19454263
Taiwan,0.4008,744.0,289.0,0.0,19.0,207.0,210.0,91.0,1180.0,2000.0,482.0,1160.0,115.0,117.0,0.0,4.0,4.0,22.0,10725000000,181900000000,37.0,196.0,1032000,2380000,12196809,23545963
Tajikistan,1.8661,25.0,0.0,0.0,1.0,4.0,20.0,6.0,253.0,347.0,0.0,90.0,128.0,0.0,0.0,0.0,0.0,0.0,1600000000,5750000000,24.0,180.0,20500.0,12000000,4095924,8604882
Tanzania,2.0651,34.0,14.0,0.0,6.0,8.0,6.0,0.0,156.0,70.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,223000000,17660000000,166.0,0.0,46000.0,0.0,10258498,55451343
Thailand,0.3571,570.0,75.0,19.0,48.0,154.0,307.0,7.0,841.0,1416.0,20.0,776.0,25.0,292.0,1.0,0.0,0.0,7.0,7100000000,132000000000,101.0,239700,1345000,396400000,35543014,68615858
Tunisia,1.4619,147.0,12.0,0.0,14.0,29.0,92.0,0.0,181.0,878.0,20.0,165.0,0.0,50.0,0.0,0.0,0.0,0.0,550000000,30190000000,29.0,49170.0,90500.0,425000000,5850224,11516189
Turkey,0.2098,1055.0,206.0,0.0,80.0,276.0,497.0,100.0,2622.0,8777.0,1278.0,1260.0,438.0,149.0,0.0,12.0,0.0,16.0,19000000000,452400000000,98.0,245000,845000,388500000,41847478,81257239
Turkmenistan,1.3292,72.0,24.0,20.0,3.0,0.0,25.0,10.0,712.0,2000.0,68.0,269.0,116.0,4.0,0.0,0.0,0.0,0.0,200000000,539400000,26.0,230880,150000,600000000,2797493,5411012
Uganda,1.6176,48.0,10.0,0.0,2.0,10.0,26.0,5.0,371.0,1081.0,6.0,53.0,26.0,8.0,0.0,0.0,0.0,0.0,935000000,10800000000,47.0,0.0,17500.0,2500000000,14707350,40853749
Ukraine,0.4457,297.0,48.0,25.0,32.0,76.0,121.0,34.0,2026.0,10135.0,738.0,2040.0,430.0,25.0,0.0,0.0,0.0,1.0,5400000000,130000000000,187.0,29650.0,325000,395000000,22195911,43952299
United Arab Emirates,0.7034,538.0,98.0,20.0,40.0,145.0,229.0,30.0,434.0,8691.0,183.0,76.0,72.0,75.0,0.0,0.0,0.0,0.0,22755000000,237600000000,43.0,3174000,575000,97800000000,5820789,9701315
United Kingdom,0.1717,733.0,133.0,15.0,44.0,241.0,312.0,49.0,227.0,5000.0,89.0,126.0,35.0,88.0,2.0,10.0,6.0,13.0,55100000000,8126000000000,460.0,910500,1600000,2564000000,29948413,65105246
United States,0.0606,13264.0,2085.0,715.0,945.0,2643.0,5768.0,967.0,6289.0,39253.0,1465.0,2740.0,1366.0,490.0,20.0,66.0,91.0,0.0,750000000000,17910000000000,13513.0,9352000,20000000,36520000000,144872845,329256465
Uruguay,1.8909,50.0,0.0,7.0,9.0,16.0,13.0,0.0,78.0,463.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,1.0,4950000000,28370000000,133.0,0.0,55600.0,0.0,1549878,3369299
Uzbekistan,0.8086,185.0,66.0,20.0,18.0,2.0,79.0,25.0,420.0,1215.0,137.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,975000000,16900000000,53.0,46070.0,142000,594000000,15912566,30023709
Venezuela,0.6449,260.0,38.0,0.0,52.0,82.0,86.0,10.0,390.0,600.0,73.0,104.0,36.0,49.0,0.0,2.0,0.0,4.0,745000000,100300000000,444.0,2007000,575000,300900000000,14260129,31689176
Vietnam,0.3559,293.0,77.0,0.0,38.0,36.0,138.0,25.0,2615.0,2530.0,70.0,1000.0,85.0,65.0,0.0,6.0,0.0,9.0,5500000000,96580000000,45.0,271400,525000,4400000000,51043216,97040334
Yemen,1.2412,169.0,77.0,0.0,8.0,21.0,61.0,14.0,620.0,615.0,20.0,85.0,150.0,30.0,0.0,0.0,0.0,0.0,1400000000,7068000000,57.0,12260.0,145000,3000000000,11266221,28667230
Zambia,1.6464,108.0,18.0,0.0,11.0,52.0,27.0,0.0,75.0,184.0,0.0,42.0,50.0,0.0,0.0,0.0,0.0,0.0,40000000,11660000000,88.0,0.0,21000.0,0.0,6166905,16445079
Zimbabwe,1.7577,90.0,10.0,0.0,14.0,38.0,28.0,6.0,42.0,300.0,0.0,65.0,22.0,0.0,0.0,0.0,0.0,0.0,100000000,9357000000,196.0,0.0,19500.0,0.0,5584086,14030368
